soal,label_asli,prediksi_svm,status
Show how to modify Fitch's algorithm given in class today to accommodate non-binary,Application,Application,Benar
Draw and label a diagram of a typical stream.,Knowledge,Knowledge,Benar
Differentiate between the following terms along with appropriate examples,Analysis,Analysis,Benar
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,Synthesis,Synthesis,Benar
Design and make an animal that moves.,Synthesis,Synthesis,Benar
How would you compare SAS with the Visual Basic Application and SPSS for the processing and analysis of mainframe data,Comprehension,Analysis,Salah
What would result if …,Application,Knowledge,Salah
"""Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer.""",Evaluation,Evaluation,Benar
Can you group by characteristics such as . . .?,Application,Knowledge,Salah
State in your own words where in the library to find previous issues of journals that are no longer in the display racks.,Comprehension,Application,Salah
Compare two of the characters in this book.,Analysis,Analysis,Benar
Use the unification algorithm to determine whether the following two terms are uni_able. Show intermediate step,Application,Application,Benar
Prepare a book jacket that illustrates the kind of book as well as the story.,Synthesis,Comprehension,Salah
Show how E-CRM can be used to improve marketing positioning as explained in the article,Application,Application,Benar
Analyze the characteristics of frogs.,Analysis,Analysis,Benar
What do you think is the mass and why,Evaluation,Evaluation,Benar
Design a healthy menu that you think most people would enjoy using the healthy eating guide.,Evaluation,Evaluation,Benar
Write an essay in not more than 250 words about India and Technological Advancement. Use active voice as much as possible.,Synthesis,Synthesis,Benar
Explain the whole method of crushing,Comprehension,Comprehension,Benar
How many years does this animal live?,Knowledge,Knowledge,Benar
Recall the following pictoral example of an implementation of some queue operations,Knowledge,Knowledge,Benar
Critique an experimental design or a research proposal.,Evaluation,Synthesis,Salah
Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,Analysis,Synthesis,Salah
"""Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.""",Synthesis,Application,Salah
Critically examine the strengths and weaknesses of the positivist paradigm,Analysis,Analysis,Benar
How would you classify the geographic location of your school,Comprehension,Evaluation,Salah
Name the property that states that,Knowledge,Knowledge,Benar
Summarize Jem’s beliefs about Boo Radley,Comprehension,Comprehension,Benar
Make a scrapbook about the areas of study.,Application,Synthesis,Salah
Assess the appropriateness of an author's conclusions based on the evidence given.,Evaluation,Evaluation,Benar
""" How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type""",Analysis,Comprehension,Salah
Make a diorama to illustrate an important event.,Application,Application,Benar
design a cost effective strategy to generate reliable data.,Synthesis,Synthesis,Benar
"""Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.""",Evaluation,Evaluation,Benar
How does Hawaii contrast and compare to Florida?,Analysis,Analysis,Benar
Distinguish between abstract date types (ADTs) and implementations of ADTs,Analysis,Analysis,Benar
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,Evaluation,Evaluation,Benar
Compose a dialogue between Atticus Finch and Tom Robinson when they first met.,Synthesis,Synthesis,Benar
Explain in your own words what a recessive gene is.,Comprehension,Comprehension,Benar
Solve a math problem using familiar procedure or formula,Application,Application,Benar
Design costumes for the characters.,Synthesis,Synthesis,Benar
"""If notes are available on the professor’s website, how should those notes be used?""",Application,Knowledge,Salah
Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,Synthesis,Comprehension,Salah
Write a set of rules to prevent what happened in the story.,Synthesis,Synthesis,Benar
"""Define stream bank, floodplain and substrate.""",Knowledge,Knowledge,Benar
Show how they have used creative writing strategies appropriate to the format,Application,Synthesis,Salah
--- Summary ---,-,-,"Benar: 86, Salah: 34, Akurasi: 0.717, F1-weighted: 0.707"
